Time,Volume,ATR,p1wick,p1body,p1tail,p1dir,p2wick,p2body,p2tail,p2dir,p3wick,p3body,p3tail,p3dir,ans
14,95187,0.0041682,0.0011500,0.0000600,0.0008400,0,0.0018300,0.0023300,0.0004700,1,0.0017700,0.0041700,0.0024200,0,SE
18,53206,0.0040069,0.0011500,0.0003000,0.0004600,0,0.0011500,0.0000600,0.0008400,0,0.0018300,0.0023300,0.0004700,1,LE
22,149487,0.0040364,0.0007100,0.0035000,0.0002100,0,0.0011500,0.0003000,0.0004600,0,0.0011500,0.0000600,0.0008400,0,LE
02,236657,0.0039674,0.0007200,0.0011200,0.0012300,1,0.0007100,0.0035000,0.0002100,0,0.0011500,0.0003000,0.0004600,0,LE
06,174188,0.0046033,0.0051000,0.0059800,0.0017900,1,0.0007200,0.0011200,0.0012300,1,0.0007100,0.0035000,0.0002100,0,SE
10,153184,0.0045737,0.0021700,0.0000600,0.0019600,0,0.0051000,0.0059800,0.0017900,1,0.0007200,0.0011200,0.0012300,1,SE
14,42071,0.0045056,0.0001000,0.0032600,0.0002600,0,0.0021700,0.0000600,0.0019600,0,0.0051000,0.0059800,0.0017900,1,SE
14,52741,0.0042909,0.0007500,0.0002000,0.0004800,1,0.0001000,0.0032600,0.0002600,0,0.0021700,0.0000600,0.0019600,0,SE
18,94843,0.0043723,0.0001100,0.0031900,0.0021300,0,0.0007500,0.0002000,0.0004800,1,0.0001000,0.0032600,0.0002600,0,LE
22,151816,0.0045750,0.0018100,0.0052500,0.0001500,0,0.0001100,0.0031900,0.0021300,0,0.0007500,0.0002000,0.0004800,1,LE
02,174227,0.0045361,0.0006400,0.0025700,0.0008200,1,0.0018100,0.0052500,0.0001500,0,0.0001100,0.0031900,0.0021300,0,LE
06,238974,0.0046328,0.0020900,0.0026300,0.0011700,1,0.0006400,0.0025700,0.0008200,1,0.0018100,0.0052500,0.0001500,0,LE
10,148158,0.0047069,0.0008400,0.0022600,0.0025700,0,0.0020900,0.0026300,0.0011700,1,0.0006400,0.0025700,0.0008200,1,LE
14,54215,0.0045471,0.0010100,0.0010800,0.0003800,0,0.0008400,0.0022600,0.0025700,0,0.0020900,0.0026300,0.0011700,1,LE
18,95275,0.0045230,0.0010800,0.0025700,0.0005600,1,0.0010100,0.0010800,0.0003800,0,0.0008400,0.0022600,0.0025700,0,LE
22,151459,0.0045356,0.0017700,0.0009600,0.0019700,1,0.0010800,0.0025700,0.0005600,1,0.0010100,0.0010800,0.0003800,0,LE
02,173181,0.0044431,0.0004700,0.0005000,0.0022700,0,0.0017700,0.0009600,0.0019700,1,0.0010800,0.0025700,0.0005600,1,LE
06,238173,0.0044493,0.0028300,0.0001100,0.0015900,0,0.0004700,0.0005000,0.0022700,0,0.0017700,0.0009600,0.0019700,1,LE
10,151140,0.0043044,0.0008500,0.0006500,0.0009200,0,0.0028300,0.0001100,0.0015900,0,0.0004700,0.0005000,0.0022700,0,LE
14,53699,0.0041169,0.0007400,0.0002700,0.0006700,0,0.0008500,0.0006500,0.0009200,0,0.0028300,0.0001100,0.0015900,0,LE
18,94653,0.0039586,0.0006900,0.0008700,0.0003400,1,0.0007400,0.0002700,0.0006700,0,0.0008500,0.0006500,0.0009200,0,LE
22,150068,0.0039051,0.0016100,0.0010300,0.0005700,1,0.0006900,0.0008700,0.0003400,1,0.0007400,0.0002700,0.0006700,0,SE
02,173627,0.0038640,0.0001700,0.0026500,0.0005100,0,0.0016100,0.0010300,0.0005700,1,0.0006900,0.0008700,0.0003400,1,LE
06,236950,0.0040487,0.0003500,0.0036400,0.0024600,0,0.0001700,0.0026500,0.0005100,0,0.0016100,0.0010300,0.0005700,1,L
10,149382,0.0040817,0.0016000,0.0003500,0.0025600,0,0.0003500,0.0036400,0.0024600,0,0.0001700,0.0026500,0.0005100,0,L
14,54344,0.0039608,0.0008500,0.0001600,0.0013800,0,0.0016000,0.0003500,0.0025600,0,0.0003500,0.0036400,0.0024600,0,L
18,94777,0.0037108,0.0001900,0.0001500,0.0001200,0,0.0008500,0.0001600,0.0013800,0,0.0016000,0.0003500,0.0025600,0,L
22,150856,0.0034764,0.0002100,0.0000500,0.0001700,0,0.0001900,0.0001500,0.0001200,0,0.0008500,0.0001600,0.0013800,0,L
02,174100,0.0035531,0.0021500,0.0019400,0.0004600,1,0.0002100,0.0000500,0.0001700,0,0.0001900,0.0001500,0.0001200,0,L
06,239138,0.0041015,0.0016500,0.0056000,0.0039800,1,0.0021500,0.0019400,0.0004600,1,0.0002100,0.0000500,0.0001700,0,LE
10,151395,0.0044799,0.0021600,0.0058500,0.0013900,1,0.0016500,0.0056000,0.0039800,1,0.0021500,0.0019400,0.0004600,1,LE
14,53576,0.0043564,0.0011100,0.0007100,0.0009300,1,0.0021600,0.0058500,0.0013900,1,0.0016500,0.0056000,0.0039800,1,LE
18,94243,0.0042495,0.0006600,0.0006300,0.0015700,1,0.0011100,0.0007100,0.0009300,1,0.0021600,0.0058500,0.0013900,1,LE
22,150048,0.0042517,0.0007500,0.0008700,0.0026600,0,0.0006600,0.0006300,0.0015700,1,0.0011100,0.0007100,0.0009300,1,LE
02,176080,0.0042680,0.0004600,0.0022600,0.0017600,0,0.0007500,0.0008700,0.0026600,0,0.0006600,0.0006300,0.0015700,1,LE
06,237871,0.0042488,0.0016700,0.0013300,0.0010000,1,0.0004600,0.0022600,0.0017600,0,0.0007500,0.0008700,0.0026600,0,LE
10,149357,0.0042403,0.0031000,0.0002300,0.0008000,0,0.0016700,0.0013300,0.0010000,1,0.0004600,0.0022600,0.0017600,0,LE
14,32041,0.0040789,0.0003100,0.0012200,0.0004500,0,0.0031000,0.0002300,0.0008000,0,0.0016700,0.0013300,0.0010000,1,LE
14,21287,0.0041033,0.0013000,0.0023200,0.0001800,1,0.0003100,0.0012200,0.0004500,0,0.0031000,0.0002300,0.0008000,0,LE
18,94860,0.0039630,0.0011000,0.0002000,0.0008400,0,0.0013000,0.0023200,0.0001800,1,0.0003100,0.0012200,0.0004500,0,LE
22,151895,0.0042635,0.0004400,0.0072600,0.0004700,1,0.0011000,0.0002000,0.0008400,0,0.0013000,0.0023200,0.0001800,1,S
02,175622,0.0043604,0.0020100,0.0018700,0.0017400,1,0.0004400,0.0072600,0.0004700,1,0.0011000,0.0002000,0.0008400,0,S
06,238499,0.0043161,0.0005000,0.0016900,0.0015500,0,0.0020100,0.0018700,0.0017400,1,0.0004400,0.0072600,0.0004700,1,S
10,149981,0.0042671,0.0016000,0.0006100,0.0014200,0,0.0005000,0.0016900,0.0015500,0,0.0020100,0.0018700,0.0017400,1,S
14,54855,0.0041123,0.0004900,0.0008200,0.0007900,0,0.0016000,0.0006100,0.0014200,0,0.0005000,0.0016900,0.0015500,0,S
18,94614,0.0039843,0.0006100,0.0012300,0.0004800,1,0.0004900,0.0008200,0.0007900,0,0.0016000,0.0006100,0.0014200,0,S
22,151176,0.0039583,0.0016900,0.0013300,0.0006000,0,0.0006100,0.0012300,0.0004800,1,0.0004900,0.0008200,0.0007900,0,S
02,174470,0.0040320,0.0013800,0.0001300,0.0034800,0,0.0016900,0.0013300,0.0006000,0,0.0006100,0.0012300,0.0004800,1,S
06,241834,0.0043197,0.0058400,0.0010200,0.0012000,0,0.0013800,0.0001300,0.0034800,0,0.0016900,0.0013300,0.0006000,0,S
10,149462,0.0043297,0.0008700,0.0022100,0.0013800,0,0.0058400,0.0010200,0.0012000,0,0.0013800,0.0001300,0.0034800,0,S
14,55444,0.0045283,0.0010100,0.0031800,0.0029200,0,0.0008700,0.0022100,0.0013800,0,0.0058400,0.0010200,0.0012000,0,S
18,94145,0.0047006,0.0006400,0.0052900,0.0010100,1,0.0010100,0.0031800,0.0029200,0,0.0008700,0.0022100,0.0013800,0,S
22,150217,0.0047241,0.0005300,0.0031500,0.0013500,0,0.0006400,0.0052900,0.0010100,1,0.0010100,0.0031800,0.0029200,0,S
02,176370,0.0048231,0.0005900,0.0047900,0.0007300,0,0.0005300,0.0031500,0.0013500,0,0.0006400,0.0052900,0.0010100,1,S
06,239682,0.0056086,0.0060600,0.0091800,0.0005800,0,0.0005900,0.0047900,0.0007300,0,0.0005300,0.0031500,0.0013500,0,SE
10,150239,0.0058837,0.0004400,0.0025200,0.0065000,0,0.0060600,0.0091800,0.0005800,0,0.0005900,0.0047900,0.0007300,0,SE
14,54610,0.0056698,0.0007900,0.0000400,0.0020600,0,0.0004400,0.0025200,0.0065000,0,0.0060600,0.0091800,0.0005800,0,SE
18,94150,0.0055741,0.0026100,0.0006900,0.0010300,0,0.0007900,0.0000400,0.0020600,0,0.0004400,0.0025200,0.0065000,0,SE
22,150179,0.0055553,0.0026100,0.0006200,0.0020800,0,0.0026100,0.0006900,0.0010300,0,0.0007900,0.0000400,0.0020600,0,SE
02,173079,0.0057670,0.0024800,0.0000600,0.0059800,1,0.0026100,0.0006200,0.0020800,0,0.0026100,0.0006900,0.0010300,0,SE
06,239652,0.0058587,0.0028000,0.0038200,0.0004300,1,0.0024800,0.0000600,0.0059800,1,0.0026100,0.0006200,0.0020800,0,SE
10,150219,0.0058045,0.0015200,0.0016200,0.0019600,0,0.0028000,0.0038200,0.0004300,1,0.0024800,0.0000600,0.0059800,1,SE
14,54046,0.0057685,0.0004500,0.0034600,0.0013900,0,0.0015200,0.0016200,0.0019600,0,0.0028000,0.0038200,0.0004300,1,SE
18,93667,0.0056464,0.0010500,0.0000900,0.0029200,0,0.0004500,0.0034600,0.0013900,0,0.0015200,0.0016200,0.0019600,0,SE
22,151507,0.0054795,0.0019400,0.0005700,0.0008000,0,0.0010500,0.0000900,0.0029200,0,0.0004500,0.0034600,0.0013900,0,SE
02,173813,0.0054224,0.0007800,0.0013600,0.0025400,1,0.0019400,0.0005700,0.0008000,0,0.0010500,0.0000900,0.0029200,0,SE
06,237294,0.0056965,0.0045600,0.0026200,0.0020800,0,0.0007800,0.0013600,0.0025400,1,0.0019400,0.0005700,0.0008000,0,SE
10,148550,0.0055889,0.0022400,0.0003400,0.0016100,0,0.0045600,0.0026200,0.0020800,0,0.0007800,0.0013600,0.0025400,1,SE
14,32208,0.0053954,0.0007300,0.0002900,0.0018600,0,0.0022400,0.0003400,0.0016100,0,0.0045600,0.0026200,0.0020800,0,SE
14,21281,0.0052379,0.0001300,0.0008700,0.0009300,0,0.0007300,0.0002900,0.0018600,0,0.0022400,0.0003400,0.0016100,0,SE
18,53926,0.0053545,0.0003600,0.0063300,0.0001800,0,0.0001300,0.0008700,0.0009300,0,0.0007300,0.0002900,0.0018600,0,SE
22,151121,0.0052477,0.0022300,0.0005300,0.0011000,1,0.0003600,0.0063300,0.0001800,0,0.0001300,0.0008700,0.0009300,0,SE
